"taxi","date.date.","passenger_count","trip_distance","fare_amount","surcharge","mta_tax","tip_amount","tolls_amount","total_amount","rides","file_name"
"FHV","2015-04-23",0,0,0,0,0,0,0,0,152166,"fhv_tripdata_2015-04.csv"
"FHV","2015-04-24",0,0,0,0,0,0,0,0,162279,"fhv_tripdata_2015-04.csv"
"FHV","2015-04-25",0,0,0,0,0,0,0,0,155929,"fhv_tripdata_2015-04.csv"
"FHV","2015-04-26",0,0,0,0,0,0,0,0,134903,"fhv_tripdata_2015-04.csv"
"FHV","2015-04-27",0,0,0,0,0,0,0,0,121231,"fhv_tripdata_2015-04.csv"
"FHV","2015-04-28",0,0,0,0,0,0,0,0,124350,"fhv_tripdata_2015-04.csv"
"FHV","2015-04-29",0,0,0,0,0,0,0,0,134491,"fhv_tripdata_2015-04.csv"
"FHV","2015-04-30",0,0,0,0,0,0,0,0,142325,"fhv_tripdata_2015-04.csv"
"FHV","2015-05-01",0,0,0,0,0,0,0,0,149994,"fhv_tripdata_2015-05.csv"
"FHV","2015-05-02",0,0,0,0,0,0,0,0,151248,"fhv_tripdata_2015-05.csv"
"FHV","2015-05-03",0,0,0,0,0,0,0,0,125989,"fhv_tripdata_2015-05.csv"
"FHV","2015-05-04",0,0,0,0,0,0,0,0,119309,"fhv_tripdata_2015-05.csv"
"FHV","2015-05-05",0,0,0,0,0,0,0,0,132000,"fhv_tripdata_2015-05.csv"
"FHV","2015-05-06",0,0,0,0,0,0,0,0,137944,"fhv_tripdata_2015-05.csv"
"FHV","2015-05-07",0,0,0,0,0,0,0,0,145599,"fhv_tripdata_2015-05.csv"
"FHV","2015-05-08",0,0,0,0,0,0,0,0,148111,"fhv_tripdata_2015-05.csv"
"FHV","2015-05-09",0,0,0,0,0,0,0,0,144168,"fhv_tripdata_2015-05.csv"
"FHV","2015-05-10",0,0,0,0,0,0,0,0,124611,"fhv_tripdata_2015-05.csv"
"FHV","2015-05-11",0,0,0,0,0,0,0,0,126235,"fhv_tripdata_2015-05.csv"
"FHV","2015-05-12",0,0,0,0,0,0,0,0,134917,"fhv_tripdata_2015-05.csv"
"FHV","2015-05-13",0,0,0,0,0,0,0,0,143397,"fhv_tripdata_2015-05.csv"
"FHV","2015-05-14",0,0,0,0,0,0,0,0,151920,"fhv_tripdata_2015-05.csv"
"FHV","2015-05-15",0,0,0,0,0,0,0,0,156892,"fhv_tripdata_2015-05.csv"
"FHV","2015-05-16",0,0,0,0,0,0,0,0,168910,"fhv_tripdata_2015-05.csv"
"FHV","2015-05-17",0,0,0,0,0,0,0,0,137515,"fhv_tripdata_2015-05.csv"
"FHV","2015-05-18",0,0,0,0,0,0,0,0,131021,"fhv_tripdata_2015-05.csv"
"FHV","2015-05-19",0,0,0,0,0,0,0,0,141911,"fhv_tripdata_2015-05.csv"
"FHV","2015-05-20",0,0,0,0,0,0,0,0,148606,"fhv_tripdata_2015-05.csv"
"FHV","2015-05-21",0,0,0,0,0,0,0,0,153246,"fhv_tripdata_2015-05.csv"
"FHV","2015-05-22",0,0,0,0,0,0,0,0,139276,"fhv_tripdata_2015-05.csv"
"FHV","2015-05-23",0,0,0,0,0,0,0,0,119859,"fhv_tripdata_2015-05.csv"
"FHV","2015-05-24",0,0,0,0,0,0,0,0,107080,"fhv_tripdata_2015-05.csv"
"FHV","2015-05-25",0,0,0,0,0,0,0,0,93976,"fhv_tripdata_2015-05.csv"
"FHV","2015-05-26",0,0,0,0,0,0,0,0,125612,"fhv_tripdata_2015-05.csv"
"FHV","2015-05-27",0,0,0,0,0,0,0,0,144681,"fhv_tripdata_2015-05.csv"
"FHV","2015-05-28",0,0,0,0,0,0,0,0,151593,"fhv_tripdata_2015-05.csv"
"FHV","2015-05-29",0,0,0,0,0,0,0,0,153571,"fhv_tripdata_2015-05.csv"
"FHV","2015-05-30",0,0,0,0,0,0,0,0,148039,"fhv_tripdata_2015-05.csv"
"FHV","2015-05-31",0,0,0,0,0,0,0,0,138837,"fhv_tripdata_2015-05.csv"
"FHV","2015-06-01",0,0,0,0,0,0,0,0,147408,"fhv_tripdata_2015-06.csv"
"FHV","2015-06-02",0,0,0,0,0,0,0,0,152452,"fhv_tripdata_2015-06.csv"
"FHV","2015-06-03",0,0,0,0,0,0,0,0,140627,"fhv_tripdata_2015-06.csv"
"FHV","2015-06-04",0,0,0,0,0,0,0,0,148807,"fhv_tripdata_2015-06.csv"
"FHV","2015-06-05",0,0,0,0,0,0,0,0,153313,"fhv_tripdata_2015-06.csv"
"FHV","2015-06-06",0,0,0,0,0,0,0,0,140768,"fhv_tripdata_2015-06.csv"
"FHV","2015-06-07",0,0,0,0,0,0,0,0,126055,"fhv_tripdata_2015-06.csv"
"FHV","2015-06-08",0,0,0,0,0,0,0,0,127797,"fhv_tripdata_2015-06.csv"
"FHV","2015-06-09",0,0,0,0,0,0,0,0,134255,"fhv_tripdata_2015-06.csv"
"FHV","2015-06-10",0,0,0,0,0,0,0,0,139335,"fhv_tripdata_2015-06.csv"
"FHV","2015-06-11",0,0,0,0,0,0,0,0,155609,"fhv_tripdata_2015-06.csv"
